sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species,date
5.1,3.5,1.4,0.2,setosa,2023-01-01
4.9,3.0,1.4,0.2,setosa,2023-01-02
4.7,3.2,1.3,0.2,setosa,2023-01-03
4.6,3.1,1.5,0.2,setosa,2023-01-04
5.0,3.6,1.4,0.2,setosa,2023-01-05
5.4,3.9,1.7,0.4,setosa,2023-01-06
4.6,3.4,1.4,0.3,setosa,2023-01-07
5.0,3.4,1.5,0.2,setosa,2023-01-08
4.4,2.9,1.4,0.2,setosa,2023-01-09
4.9,3.1,1.5,0.1,setosa,2023-01-10
5.4,3.7,1.5,0.2,setosa,2023-01-11
4.8,3.4,1.6,0.2,setosa,2023-01-12
4.8,3.0,1.4,0.1,setosa,2023-01-13
4.3,3.0,1.1,0.1,setosa,2023-01-14
5.8,4.0,1.2,0.2,setosa,2023-01-15
5.7,4.4,1.5,0.4,setosa,2023-01-16
5.4,3.9,1.3,0.4,setosa,2023-01-17
5.1,3.5,1.4,0.3,setosa,2023-01-18
5.7,3.8,1.7,0.3,setosa,2023-01-19
5.1,3.8,1.5,0.3,setosa,2023-01-20
5.4,3.4,1.7,0.2,setosa,2023-01-21
5.1,3.7,1.5,0.4,setosa,2023-01-22
4.6,3.6,1.0,0.2,setosa,2023-01-23
5.1,3.3,1.7,0.5,setosa,2023-01-24
4.8,3.4,1.9,0.2,setosa,2023-01-25
5.0,3.0,1.6,0.2,setosa,2023-01-26
5.0,3.4,1.6,0.4,setosa,2023-01-27
5.2,3.5,1.5,0.2,setosa,2023-01-28
5.2,3.4,1.4,0.2,setosa,2023-01-29
4.7,3.2,1.6,0.2,setosa,2023-01-30
4.8,3.1,1.6,0.2,setosa,2023-01-31
5.4,3.4,1.5,0.4,setosa,2023-02-01
5.2,4.1,1.5,0.1,setosa,2023-02-02
5.5,4.2,1.4,0.2,setosa,2023-02-03
4.9,3.1,1.5,0.2,setosa,2023-02-04
5.0,3.2,1.2,0.2,setosa,2023-02-05
5.5,3.5,1.3,0.2,setosa,2023-02-06
4.9,3.6,1.4,0.1,setosa,2023-02-07
4.4,3.0,1.3,0.2,setosa,2023-02-08
5.1,3.4,1.5,0.2,setosa,2023-02-09
5.0,3.5,1.3,0.3,setosa,2023-02-10
4.5,2.3,1.3,0.3,setosa,2023-02-11
4.4,3.2,1.3,0.2,setosa,2023-02-12
5.0,3.5,1.6,0.6,setosa,2023-02-13
5.1,3.8,1.9,0.4,setosa,2023-02-14
4.8,3.0,1.4,0.3,setosa,2023-02-15
5.1,3.8,1.6,0.2,setosa,2023-02-16
4.6,3.2,1.4,0.2,setosa,2023-02-17
5.3,3.7,1.5,0.2,setosa,2023-02-18
5.0,3.3,1.4,0.2,setosa,2023-02-19
7.0,3.2,4.7,1.4,versicolor,2023-02-20
6.4,3.2,4.5,1.5,versicolor,2023-02-21
6.9,3.1,4.9,1.5,versicolor,2023-02-22
5.5,2.3,4.0,1.3,versicolor,2023-02-23
6.5,2.8,4.6,1.5,versicolor,2023-02-24
5.7,2.8,4.5,1.3,versicolor,2023-02-25
6.3,3.3,4.7,1.6,versicolor,2023-02-26
4.9,2.4,3.3,1.0,versicolor,2023-02-27
6.6,2.9,4.6,1.3,versicolor,2023-02-28
5.2,2.7,3.9,1.4,versicolor,2023-03-01
5.0,2.0,3.5,1.0,versicolor,2023-03-02
5.9,3.0,4.2,1.5,versicolor,2023-03-03
6.0,2.2,4.0,1.0,versicolor,2023-03-04
6.1,2.9,4.7,1.4,versicolor,2023-03-05
5.6,2.9,3.6,1.3,versicolor,2023-03-06
6.7,3.1,4.4,1.4,versicolor,2023-03-07
5.6,3.0,4.5,1.5,versicolor,2023-03-08
5.8,2.7,4.1,1.0,versicolor,2023-03-09
6.2,2.2,4.5,1.5,versicolor,2023-03-10
5.6,2.5,3.9,1.1,versicolor,2023-03-11
5.9,3.2,4.8,1.8,versicolor,2023-03-12
6.1,2.8,4.0,1.3,versicolor,2023-03-13
6.3,2.5,4.9,1.5,versicolor,2023-03-14
6.1,2.8,4.7,1.2,versicolor,2023-03-15
6.4,2.9,4.3,1.3,versicolor,2023-03-16
6.6,3.0,4.4,1.4,versicolor,2023-03-17
6.8,2.8,4.8,1.4,versicolor,2023-03-18
6.7,3.0,5.0,1.7,versicolor,2023-03-19
6.0,2.9,4.5,1.5,versicolor,2023-03-20
5.7,2.6,3.5,1.0,versicolor,2023-03-21
5.5,2.4,3.8,1.1,versicolor,2023-03-22
5.5,2.4,3.7,1.0,versicolor,2023-03-23
5.8,2.7,3.9,1.2,versicolor,2023-03-24
6.0,2.7,5.1,1.6,versicolor,2023-03-25
5.4,3.0,4.5,1.5,versicolor,2023-03-26
6.0,3.4,4.5,1.6,versicolor,2023-03-27
6.7,3.1,4.7,1.5,versicolor,2023-03-28
6.3,2.3,4.4,1.3,versicolor,2023-03-29
5.6,3.0,4.1,1.3,versicolor,2023-03-30
5.5,2.5,4.0,1.3,versicolor,2023-03-31
5.5,2.6,4.4,1.2,versicolor,2023-04-01
6.1,3.0,4.6,1.4,versicolor,2023-04-02
5.8,2.6,4.0,1.2,versicolor,2023-04-03
5.0,2.3,3.3,1.0,versicolor,2023-04-04
5.6,2.7,4.2,1.3,versicolor,2023-04-05
5.7,3.0,4.2,1.2,versicolor,2023-04-06
5.7,2.9,4.2,1.3,versicolor,2023-04-07
6.2,2.9,4.3,1.3,versicolor,2023-04-08
5.1,2.5,3.0,1.1,versicolor,2023-04-09
5.7,2.8,4.1,1.3,versicolor,2023-04-10
6.3,3.3,6.0,2.5,virginica,2023-04-11
5.8,2.7,5.1,1.9,virginica,2023-04-12
7.1,3.0,5.9,2.1,virginica,2023-04-13
6.3,2.9,5.6,1.8,virginica,2023-04-14
6.5,3.0,5.8,2.2,virginica,2023-04-15
7.6,3.0,6.6,2.1,virginica,2023-04-16
4.9,2.5,4.5,1.7,virginica,2023-04-17
7.3,2.9,6.3,1.8,virginica,2023-04-18
6.7,2.5,5.8,1.8,virginica,2023-04-19
7.2,3.6,6.1,2.5,virginica,2023-04-20
6.5,3.2,5.1,2.0,virginica,2023-04-21
6.4,2.7,5.3,1.9,virginica,2023-04-22
6.8,3.0,5.5,2.1,virginica,2023-04-23
5.7,2.5,5.0,2.0,virginica,2023-04-24
5.8,2.8,5.1,2.4,virginica,2023-04-25
6.4,3.2,5.3,2.3,virginica,2023-04-26
6.5,3.0,5.5,1.8,virginica,2023-04-27
7.7,3.8,6.7,2.2,virginica,2023-04-28
7.7,2.6,6.9,2.3,virginica,2023-04-29
6.0,2.2,5.0,1.5,virginica,2023-04-30
6.9,3.2,5.7,2.3,virginica,2023-05-01
5.6,2.8,4.9,2.0,virginica,2023-05-02
7.7,2.8,6.7,2.0,virginica,2023-05-03
6.3,2.7,4.9,1.8,virginica,2023-05-04
6.7,3.3,5.7,2.1,virginica,2023-05-05
7.2,3.2,6.0,1.8,virginica,2023-05-06
6.2,2.8,4.8,1.8,virginica,2023-05-07
6.1,3.0,4.9,1.8,virginica,2023-05-08
6.4,2.8,5.6,2.1,virginica,2023-05-09
7.2,3.0,5.8,1.6,virginica,2023-05-10
7.4,2.8,6.1,1.9,virginica,2023-05-11
7.9,3.8,6.4,2.0,virginica,2023-05-12
6.4,2.8,5.6,2.2,virginica,2023-05-13
6.3,2.8,5.1,1.5,virginica,2023-05-14
6.1,2.6,5.6,1.4,virginica,2023-05-15
7.7,3.0,6.1,2.3,virginica,2023-05-16
6.3,3.4,5.6,2.4,virginica,2023-05-17
6.4,3.1,5.5,1.8,virginica,2023-05-18
6.0,3.0,4.8,1.8,virginica,2023-05-19
6.9,3.1,5.4,2.1,virginica,2023-05-20
6.7,3.1,5.6,2.4,virginica,2023-05-21
6.9,3.1,5.1,2.3,virginica,2023-05-22
5.8,2.7,5.1,1.9,virginica,2023-05-23
6.8,3.2,5.9,2.3,virginica,2023-05-24
6.7,3.3,5.7,2.5,virginica,2023-05-25
6.7,3.0,5.2,2.3,virginica,2023-05-26
6.3,2.5,5.0,1.9,virginica,2023-05-27
6.5,3.0,5.2,2.0,virginica,2023-05-28
6.2,3.4,5.4,2.3,virginica,2023-05-29
5.9,3.0,5.1,1.8,virginica,2023-05-30
